,index,name,uri,site,hash,min,max,currency
205,206,Data Scientist,https://krasnogorsk.hh.ru/vacancy/36783102?query=ML,hh.ru,c6efc96e0d5d289c19d47be76c1b54379e5ca4f9,,,
206,207,Ведущий backend-разработчик,https://krasnogorsk.hh.ru/vacancy/37105461?query=ML,hh.ru,595a80380f2fe97c857208d775491e22328bff7a,200000,300000,руб.
207,208,Стажер департамента Research & Development,https://krasnogorsk.hh.ru/vacancy/37084934?query=ML,hh.ru,c3f78a624bca46745b964f3a0f69e303c1dcd034,,,
208,209,Data scientist,https://krasnogorsk.hh.ru/vacancy/37072712?query=ML,hh.ru,2e5f831c814cb6d684549858dc9e815bbc56430e,150000,,руб.
209,210,Data Engineer (AIOps),https://krasnogorsk.hh.ru/vacancy/37083303?query=ML,hh.ru,0f7bed139404b392636834e47789c6322cf8e807,,,
210,211,Разработчик Python/Go,https://krasnogorsk.hh.ru/vacancy/37086966?query=ML,hh.ru,0221bc1a8eec7938d1171a5e70d1af30370ca783,,,
211,212,Data scientist (Центр по исследованию данных),https://krasnogorsk.hh.ru/vacancy/36360280?query=ML,hh.ru,5141baf36a875a9f1757efb7c54909dd82bbb77d,,,
212,213,Android-разработчик в команду Видео,https://krasnogorsk.hh.ru/vacancy/36557099?query=ML,hh.ru,e33ca302ad05cd38355795a87efdd0641a73bd46,,,
213,214,Data Scientist (Центр валидации моделей сервисных блоков и экосистемы),https://krasnogorsk.hh.ru/vacancy/36918846?query=ML,hh.ru,d360f1b00d7d20e0d94d08907f206802eb411638,,,
214,215,Data Scientist в Корпоративно-Инвестиционный Блок Банка,https://krasnogorsk.hh.ru/vacancy/36550195?query=ML,hh.ru,8e64ed7224eda030a7121caa77e435b899eabc49,,,
215,216,Руководитель направления Amazon Web Services (AWS),https://krasnogorsk.hh.ru/vacancy/37061231?query=ML,hh.ru,0891551c166eb99f363e47ee907bf79efdf1fc42,,,
